工厂,产品名称,产品规格,月份,产量(盒),直接人工总额(元),总工时(小时),生产人数(人),工作天数(天)
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,77010.0,1472,8,23
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,79500.0,1344,8,21
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,91200.0,1408,8,22
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,85680.0,1088,8,17
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,89680.0,1344,8,21
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,97020.0,1472,8,23
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,96600.0,1840,10,23
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,99840.0,1680,10,21
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,114480.0,1760,10,22
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,107000.0,1360,10,17
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,112360.0,1680,10,21
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,120960.0,1840,10,23
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,75240.0,2208,12,23
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,79040.0,2016,12,21
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,88620.0,2112,12,22
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,82680.0,1632,12,17
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,86510.0,2016,12,21
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,93720.0,2208,12,23
