工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,折旧费,0.81,41310.0
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,动力费(水电气),0.56,28560.0
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,人工(间接),0.47,23970.0
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,检验费,0.25,12750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,其他制造费用,0.25,12750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,折旧费,0.82,43460.0
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,动力费(水电气),0.58,30740.0
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,人工(间接),0.48,25440.0
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,检验费,0.25,13250.0
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,其他制造费用,0.25,13250.0
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,折旧费,0.8,48000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,动力费(水电气),0.55,33000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,人工(间接),0.47,28200.0
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,检验费,0.25,15000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,其他制造费用,0.25,15000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,折旧费,0.83,46480.0
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,动力费(水电气),0.59,33040.0
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,人工(间接),0.49,27440.0
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,检验费,0.26,14560.0
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,其他制造费用,0.25,14000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,折旧费,0.81,47790.0
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,动力费(水电气),0.57,33630.0
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,人工(间接),0.48,28320.0
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,检验费,0.25,14750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,其他制造费用,0.25,14750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,折旧费,0.82,51660.0
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,动力费(水电气),0.6,37800.0
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,人工(间接),0.49,30870.0
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,检验费,0.26,16380.0
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,其他制造费用,0.26,16380.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,折旧费,0.54,49680.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,动力费(水电气),0.41,37720.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,人工(间接),0.33,30360.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,检验费,0.18,16560.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,其他制造费用,0.17,15640.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,折旧费,0.55,52800.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,动力费(水电气),0.43,41280.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,人工(间接),0.34,32640.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,检验费,0.18,17280.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,其他制造费用,0.18,17280.0
