工厂,产品名称,产品规格,月份,产量(盒),原材料名称,单位消耗成本(元/盒),原材料总成本(元),占总材料成本比例
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,金银花,3.42,174420.0,47.7%
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,黄芩提取物,2.18,111180.0,30.4%
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,蔗糖,0.47,23970.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,苯甲酸钠,0.15,7650.0,2.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,纯化水,0.08,4080.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,包装材料(盒+说明书),0.87,44370.0,12.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,金银花,3.48,184440.0,47.8%
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,黄芩提取物,2.2,116600.0,30.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,蔗糖,0.48,25440.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,苯甲酸钠,0.16,8480.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,纯化水,0.08,4240.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,包装材料(盒+说明书),0.88,46640.0,12.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,金银花,3.6,216000.0,48.8%
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,黄芩提取物,2.22,133200.0,30.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,蔗糖,0.46,27600.0,6.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,苯甲酸钠,0.15,9000.0,2.0%
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,纯化水,0.08,4800.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,包装材料(盒+说明书),0.86,51600.0,11.7%
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,金银花,3.55,198800.0,48.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,黄芩提取物,2.21,123760.0,29.9%
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,蔗糖,0.49,27440.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,苯甲酸钠,0.16,8960.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,纯化水,0.08,4480.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,包装材料(盒+说明书),0.89,49840.0,12.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,金银花,3.7,218300.0,49.0%
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,黄芩提取物,2.25,132750.0,29.8%
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,蔗糖,0.48,28320.0,6.4%
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,苯甲酸钠,0.16,9440.0,2.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,纯化水,0.08,4720.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,包装材料(盒+说明书),0.88,51920.0,11.7%
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,金银花,3.8,239400.0,49.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,黄芩提取物,2.28,143640.0,29.5%
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,蔗糖,0.5,31500.0,6.5%
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,苯甲酸钠,0.17,10710.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,纯化水,0.09,5670.0,1.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,包装材料(盒+说明书),0.9,56700.0,11.6%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,板蓝根,2.98,274160.0,64.1%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,蔗糖,0.57,52440.0,12.3%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,糊精,0.36,33120.0,7.7%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,包装材料(复合膜袋+纸盒),0.74,68080.0,15.9%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,板蓝根,3.1,297600.0,64.6%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,蔗糖,0.58,55680.0,12.1%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,糊精,0.37,35520.0,7.7%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,包装材料(复合膜袋+纸盒),0.75,72000.0,15.6%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,板蓝根,3.25,351000.0,66.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,蔗糖,0.56,60480.0,11.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,糊精,0.35,37800.0,7.2%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,包装材料(复合膜袋+纸盒),0.73,78840.0,14.9%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,板蓝根,3.15,315000.0,64.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,蔗糖,0.59,59000.0,12.1%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,糊精,0.38,38000.0,7.8%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,包装材料(复合膜袋+纸盒),0.76,76000.0,15.6%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,板蓝根,3.3,349800.0,66.0%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,蔗糖,0.58,61480.0,11.6%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,糊精,0.37,39220.0,7.4%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,包装材料(复合膜袋+纸盒),0.75,79500.0,15.0%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,板蓝根,3.42,383040.0,66.0%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,蔗糖,0.6,67200.0,11.6%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,糊精,0.39,43680.0,7.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,包装材料(复合膜袋+纸盒),0.77,86240.0,14.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,熟地黄,3.65,131400.0,28.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,山茱萸,2.92,105120.0,23.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,山药,1.54,55440.0,12.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,泽泻,0.87,31320.0,6.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,茯苓,1.24,44640.0,9.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,牡丹皮,1.08,38880.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,空心胶囊,0.39,14040.0,3.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,包装材料(PVC+铝箔+纸盒),0.92,33120.0,7.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,熟地黄,3.72,141360.0,29.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,山茱萸,3.0,114000.0,23.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,山药,1.56,59280.0,12.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,泽泻,0.88,33440.0,6.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,茯苓,1.26,47880.0,9.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,牡丹皮,1.1,41800.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,空心胶囊,0.39,14820.0,3.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,包装材料(PVC+铝箔+纸盒),0.93,35340.0,7.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,熟地黄,3.8,159600.0,29.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,山茱萸,3.1,130200.0,24.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,山药,1.55,65100.0,12.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,泽泻,0.86,36120.0,6.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,茯苓,1.25,52500.0,9.7%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,牡丹皮,1.09,45780.0,8.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,空心胶囊,0.38,15960.0,2.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,包装材料(PVC+铝箔+纸盒),0.91,38220.0,7.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,熟地黄,3.75,146250.0,28.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,山茱萸,3.05,118950.0,23.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,山药,1.58,61620.0,12.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,泽泻,0.89,34710.0,6.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,茯苓,1.28,49920.0,9.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,牡丹皮,1.12,43680.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,空心胶囊,0.4,15600.0,3.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,包装材料(PVC+铝箔+纸盒),0.94,36660.0,7.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,熟地黄,3.88,159080.0,29.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,山茱萸,3.18,130380.0,24.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,山药,1.57,64370.0,11.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,泽泻,0.88,36080.0,6.7%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,茯苓,1.27,52070.0,9.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,牡丹皮,1.11,45510.0,8.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,空心胶囊,0.39,15990.0,3.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,包装材料(PVC+铝箔+纸盒),0.93,38130.0,7.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,熟地黄,3.95,173800.0,29.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,山茱萸,3.28,144320.0,24.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,山药,1.6,70400.0,11.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,泽泻,0.9,39600.0,6.7%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,茯苓,1.3,57200.0,9.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,牡丹皮,1.14,50160.0,8.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,空心胶囊,0.41,18040.0,3.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,包装材料(PVC+铝箔+纸盒),0.95,41800.0,7.0%
