工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-07,51000,7.17,1.51,2.34,11.02,562020.0
中药一厂,银黄口服液,10ml×10支/盒,2026-08,53000,7.28,1.5,2.38,11.16,591480.0
中药一厂,银黄口服液,10ml×10支/盒,2026-09,60000,7.37,1.52,2.32,11.21,672600.0
中药一厂,银黄口服液,10ml×10支/盒,2026-10,56000,7.38,1.53,2.42,11.33,634480.0
中药一厂,银黄口服液,10ml×10支/盒,2026-11,59000,7.55,1.52,2.36,11.43,674370.0
中药一厂,银黄口服液,10ml×10支/盒,2026-12,63000,7.74,1.54,2.43,11.71,737730.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-07,92000,4.65,1.05,1.63,7.33,674360.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-08,96000,4.8,1.04,1.68,7.52,721920.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,4.89,1.06,1.59,7.54,814320.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,4.88,1.07,1.71,7.66,766000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,5.0,1.06,1.64,7.7,816200.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,5.18,1.08,1.71,7.97,892640.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,12.61,2.09,3.02,17.72,637920.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,12.84,2.08,3.07,17.99,683620.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,12.94,2.11,2.98,18.03,757260.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,13.01,2.12,3.12,18.25,711750.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,13.21,2.11,3.03,18.35,752350.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,13.53,2.13,3.12,18.78,826320.0
