工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药二厂,银黄口服液,10ml×10支/盒,2026-07,40800,7.6,1.71,2.57,11.88,484704.0
中药二厂,银黄口服液,10ml×10支/盒,2026-08,42400,7.72,1.69,2.62,12.03,510072.0
中药二厂,银黄口服液,10ml×10支/盒,2026-09,48000,7.81,1.72,2.55,12.08,579840.0
中药二厂,银黄口服液,10ml×10支/盒,2026-10,44800,7.82,1.73,2.66,12.21,547008.0
中药二厂,银黄口服液,10ml×10支/盒,2026-11,47200,8.0,1.72,2.6,12.32,581504.0
中药二厂,银黄口服液,10ml×10支/盒,2026-12,50400,8.2,1.74,2.67,12.61,635544.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-07,73600,4.93,1.19,1.79,7.91,582176.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-08,76800,5.09,1.18,1.85,8.12,623616.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-09,86400,5.18,1.2,1.75,8.13,702432.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-10,80000,5.17,1.21,1.88,8.26,660800.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-11,84800,5.3,1.2,1.8,8.3,703840.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-12,89600,5.49,1.22,1.88,8.59,769664.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,28800,13.37,2.36,3.32,19.05,548640.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,30400,13.61,2.35,3.38,19.34,587936.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,33600,13.72,2.38,3.28,19.38,651168.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,31200,13.79,2.4,3.43,19.62,612144.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,32800,14.0,2.38,3.33,19.71,646488.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,35200,14.34,2.41,3.43,20.18,710336.0
