药材名称,规格等级,单位,7月价格,8月价格,9月价格,10月价格,11月价格,12月价格,价格来源,趋势分析
金银花,"统货,河南产",元/kg,136.0,138.0,145.0,142.0,150.0,155.0,亳州中药材市场,↑ 秋冬流感旺季，需求激增持续上涨
黄芩提取物,"提取物,山西产",元/kg,47.0,47.5,48.0,47.8,48.5,49.0,安国中药材市场,→ 供需平稳，小幅上扬
板蓝根,"统货,甘肃产",元/kg,31.5,33.0,36.0,34.5,38.0,40.0,亳州中药材市场,↑ 流感季备货拉动，9月起大幅上涨
熟地黄,"统货,河南产",元/kg,40.0,40.5,41.5,41.0,42.5,43.0,亳州中药材市场,↑ 加工成本与需求双升
山茱萸,"统货,陕西产",元/kg,55.5,57.0,59.0,58.0,61.0,63.0,安国中药材市场,↑ 库存持续偏低，价格坚挺上行
山药,"统货,河南产",元/kg,33.5,34.0,34.5,34.0,35.0,35.5,亳州中药材市场,→ 供需平衡，小幅波动
泽泻,"统货,四川产",元/kg,18.8,19.0,19.3,19.0,19.5,19.8,成都中药材市场,→ 基本稳定，微幅上行
茯苓,"统货,安徽产",元/kg,26.0,26.3,26.8,26.5,27.2,27.5,亳州中药材市场,→ 小幅波动上行
牡丹皮,"统货,安徽产",元/kg,36.5,37.0,37.5,37.2,38.0,38.5,亳州中药材市场,→ 基本平稳，略涨
蔗糖,"一级,广西产",元/kg,6.95,7.0,6.92,7.05,7.1,7.15,广西糖网,→ 国际糖价传导，小幅波动
糊精,药用级,元/kg,12.4,12.5,12.6,12.5,12.8,13.0,化工原料网,→ 小幅上涨
空心胶囊,0# 药用明胶,元/万粒,86.5,87.0,87.5,87.0,88.0,88.5,胶囊行业协会,→ 基本稳定
苯甲酸钠,药用级,元/kg,22.8,23.0,23.2,23.0,23.5,23.8,化工原料网,→ 小幅波动上行
